model,note,sample,accuracy
naive_bayes,unigram+bigram+trigram,sample_size=30000,0.59813396
naive_bayes,unigram+bigram+trigram,sample_size=30000,0.58713762
naive_bayes,unigram+bigram+trigram,sample_size=30000,0.57514162
naive_bayes,unigram+bigram+trigram,sample_size=30000,0.5838054
naive_bayes,unigram+bigram+trigram,sample_size=30000,0.57333333
naive_bayes,unigram+bigram+trigram,sample_size=30000,0.577
naive_bayes,unigram+bigram+trigram,sample_size=30000,0.60566667
naive_bayes,unigram+bigram+trigram,sample_size=30000,0.56418806
naive_bayes,unigram+bigram+trigram,sample_size=30000,0.57352451
naive_bayes,unigram+bigram+trigram,sample_size=30000,0.58772515
