model,note,sample,accuracy
random_forest,max_features=log2;n_estimators=100,sample_size=30000,0.634576949
random_forest,max_features=log2;n_estimators=100,sample_size=30000,0.641452849
random_forest,max_features=log2;n_estimators=100,sample_size=30000,0.633666667
random_forest,max_features=log2;n_estimators=100,sample_size=30000,0.64
random_forest,max_features=log2;n_estimators=100,sample_size=30000,0.641
random_forest,max_features=log2;n_estimators=100,sample_size=30000,0.633666667
random_forest,max_features=log2;n_estimators=100,sample_size=30000,0.641333333
random_forest,max_features=log2;n_estimators=100,sample_size=30000,0.637545849
random_forest,max_features=log2;n_estimators=100,sample_size=30000,0.651883961
random_forest,max_features=log2;n_estimators=100,sample_size=30000,0.630876959
