model,note,sample,accuracy
trigram,stupid_backoff,sample_size=30000,0.49350217
trigram,stupid_backoff,sample_size=30000,0.47850716
trigram,stupid_backoff,sample_size=30000,0.5164945
trigram,stupid_backoff,sample_size=30000,0.4925025
trigram,stupid_backoff,sample_size=30000,0.48833333
trigram,stupid_backoff,sample_size=30000,0.49133333
trigram,stupid_backoff,sample_size=30000,0.49633333
trigram,stupid_backoff,sample_size=30000,0.49649883
trigram,stupid_backoff,sample_size=30000,0.48149383
trigram,stupid_backoff,sample_size=30000,0.49499666
