user_num_places_rated,user_num_following,user_url,beer_num_ratings,user_num_friends,user_num_breweries_rated,review_palate_score,review_taste_score,user_num_ratings,review_ratings_blob,review_aroma_score,user_num_countries_rated,user_id,review_avg_score,beer_global_style_score,beer_weighted_avg_score,beer_brewer_name,review_overall_score,user_location,review_appearance_score,beer_num_calories,beer_style,beer_url,review_blob,beer_global_score,user_name,beer_location,beer_ABV,beer_name
32,0,http://www.ratebeer.com/user/117976/beer-ratings/,1456,5,180,4,8,474,4.2 AROMA 8/10 APPEARANCE 4/5 TASTE 8/10 PALATE 4/5 OVERALL 18/20RayOhm(474),8,23,117976,4.2,99.947,4.240785,The Alchemist,18," Fergus, Ontario, Canada                          ",4,1456,Imperial IPA,http://www.ratebeer.com/beer/alchemist-heady-topper/32329/117976/,"freaking awesome. huge hop aroma, hops over power the strong malt presence, exactly what i like in a double ipa. more please. thanks Andrew! ",99.947,RayOhm,Vermont,8%,Alchemist Heady Topper
32,0,http://www.ratebeer.com/user/117976/beer-ratings/,3,5,180,4,7,474,3.8 AROMA 6/10 APPEARANCE 4/5 TASTE 7/10 PALATE 4/5 OVERALL 17/20RayOhm(474),6,23,117976,3.8,,3.050875,Taps Brewing (Canada),17," Fergus, Ontario, Canada                          ",4,180,Black IPA,http://www.ratebeer.com/beer/taps-kitchen-sink-pail-ale/167695/117976/,"faint aroma, but some hops. very heavy on the palate. chocolate, coffee, black licorice with a nice bitter finish. well done Taps. ",,RayOhm,Canada,6%,"Taps Kitchen Sink ""Pail"" Ale"
32,0,http://www.ratebeer.com/user/117976/beer-ratings/,94,5,180,2,6,474,3.3 AROMA 6/10 APPEARANCE 4/5 TASTE 6/10 PALATE 2/5 OVERALL 15/20RayOhm(474),6,23,117976,3.3,61.33,3.106537,Lake of Bays Brewing Company,15," Fergus, Ontario, Canada                          ",4,150,Amber Ale,http://www.ratebeer.com/beer/lake-of-bays-spark-house-red/143803/117976/,"not spectacular by any means, but a pretty good easy drinking beer with a hit of mild hops. pretty good for the style ",45.73,RayOhm,Canada,5%,Lake of Bays Spark House Red
32,0,http://www.ratebeer.com/user/117976/beer-ratings/,78,5,180,4,7,474,3.7 AROMA 7/10 APPEARANCE 4/5 TASTE 7/10 PALATE 4/5 OVERALL 15/20RayOhm(474),7,23,117976,3.7,97.207,3.545079,Garrison Brewing Company,15," Fergus, Ontario, Canada                          ",4,225,Spice/Herb/Vegetable,http://www.ratebeer.com/beer/garrison-spruce-beer/135769/117976/,"got a lot of the spruce in the aroma but none in the flavour. caramel, molasses and booze mostly. pretty good.  ",91.988,RayOhm,Canada,7.5%,Garrison Spruce Beer
32,0,http://www.ratebeer.com/user/117976/beer-ratings/,104,5,180,3,6,474,3.1 AROMA 7/10 APPEARANCE 3/5 TASTE 6/10 PALATE 3/5 OVERALL 12/20RayOhm(474),7,23,117976,3.1,74.425,3.523658,Garrison Brewing Company,12," Fergus, Ontario, Canada                          ",3,104,Baltic Porter,http://www.ratebeer.com/beer/garrison-grand-baltic-porter/95555/117976/,"black pour, not really any head. mostly tasted black licorice, raisins and booze. not a fan of black licorice so i didnt really like this beer. ",91.212,RayOhm,Canada,9%,Garrison Grand Baltic Porter
32,0,http://www.ratebeer.com/user/117976/beer-ratings/,177,5,180,2,7,474,3.5 AROMA 7/10 APPEARANCE 3/5 TASTE 7/10 PALATE 2/5 OVERALL 16/20RayOhm(474),7,23,117976,3.5,14.408,3.044091,Double Trouble Brewing Co.,16," Fergus, Ontario, Canada                          ",3,177,India Pale Ale (IPA),http://www.ratebeer.com/beer/double-trouble-hops-and-robbers-ipa/157801/117976/,"on tap. as others have mentioned, this shouldnt really be in the ipa category. pretty well done though, nice fruity hopiness throughout and a light crisp bitter finish.  ",41.212,RayOhm,Canada,5.7%,Double Trouble Hops and Robbers IPA
32,0,http://www.ratebeer.com/user/117976/beer-ratings/,6,5,180,3,6,474,3.1 AROMA 6/10 APPEARANCE 3/5 TASTE 6/10 PALATE 3/5 OVERALL 13/20RayOhm(474),6,23,117976,3.1,,3.013591,Wellington Brewery,13," Fergus, Ontario, Canada                          ",3,195,Premium Bitter/ESB,http://www.ratebeer.com/beer/wellington-fm-guelph-special-bitter/150694/117976/,"not bad, just not great. grainy, bready maybea hint of caramel. slight hop finish. no where near as good as the blackened IPA beer these two breweries did.  ",,RayOhm,Canada,6.5%,Wellington/F&M; Guelph Special Bitter
32,0,http://www.ratebeer.com/user/117976/beer-ratings/,42,5,180,3,7,474,3.7 AROMA 6/10 APPEARANCE 4/5 TASTE 7/10 PALATE 3/5 OVERALL 17/20RayOhm(474),6,23,117976,3.7,89.879,3.391669,Wellington Brewery,17," Fergus, Ontario, Canada                          ",4,177,Brown Ale,http://www.ratebeer.com/beer/wellington-terrestrial-india-brown-ale/166047/117976/,"light brown pour, small head. slight hop aroma. a little sweet, caramelly and bready to start with a nice citrus hop finish. well balanced. nothing too overpowering. turned out pretty good, will have to grab a few more.  ",80.547,RayOhm,Canada,5.9%,Wellington Terrestrial India Brown Ale
32,0,http://www.ratebeer.com/user/117976/beer-ratings/,3,5,180,2,5,474,2.5 AROMA 5/10 APPEARANCE 3/5 TASTE 5/10 PALATE 2/5 OVERALL 10/20RayOhm(474),5,23,117976,2.5,,2.646061,Niagara College Teaching Brewery,10," Fergus, Ontario, Canada                          ",3,165,Pale Lager,http://www.ratebeer.com/beer/brasa-chopp/156074/117976/,"was okay. its tough too make a good beer in this style, wasnt bad by any means. better than most of that garbage at the beer store.  ",,RayOhm,Canada,5.5%,Brasa Chopp
32,0,http://www.ratebeer.com/user/117976/beer-ratings/,44,5,180,2,5,474,2.7 AROMA 6/10 APPEARANCE 3/5 TASTE 5/10 PALATE 2/5 OVERALL 11/20RayOhm(474),6,23,117976,2.7,35.276,3.086003,Mill St. Brewery (AB InBev),11," Fergus, Ontario, Canada                          ",3,210,Doppelbock,http://www.ratebeer.com/beer/mill-street-franconian-bock/142214/117976/,wasnt too impressed with this one. there simply wasnt anything too it. better than their stock ale though lol ,46.592,RayOhm,Canada,7%,Mill Street Franconian Bock
32,0,http://www.ratebeer.com/user/117976/beer-ratings/,337,5,180,4,7,474,3.8 AROMA 7/10 APPEARANCE 4/5 TASTE 7/10 PALATE 4/5 OVERALL 16/20RayOhm(474),7,23,117976,3.8,99.63,3.773454,Microbrasserie Charlevoix / Le Saint Pub,16," Fergus, Ontario, Canada                          ",4,337,Abbey Dubbel,http://www.ratebeer.com/beer/charlevoix-dominus-vobiscum-double/59975/117976/,heavy molasses looking pour with some head. a bit of raisins and other dried fruit. very drinkable. pretty good. ,97.974,RayOhm,Canada,8%,Charlevoix Dominus Vobiscum Double
32,0,http://www.ratebeer.com/user/117976/beer-ratings/,752,5,180,3,8,474,3.9 AROMA 8/10 APPEARANCE 4/5 TASTE 8/10 PALATE 3/5 OVERALL 16/20RayOhm(474),8,23,117976,3.9,98.833,3.779729,Three Floyds Brewing Company,16," Fergus, Ontario, Canada                          ",4,752,Foreign Stout,http://www.ratebeer.com/beer/three-floyds-black-sun-stout/6225/117976/,noticably lighter than most big stouts but it tasted much heavier than a 5% beer.  ,98.566,RayOhm,Indiana,6.5%,Three Floyds Black Sun Stout
