beerGlobalStyleScore,beerWeightedAverage,profileBio,appearanceScore,beerNumRatings,overallScore,numPlacesRated,brewerName,reviewBlob,userNumRatings,beerGlobalScore,numFriends,tasteScore,userName,avgScore,url,palateScore,beerName,userID,numFollowing,numCountriesRated,beerAbV,beerStyleName,numBreweriesRated,beerNumCalories,ratingsBlob,beerCountryOfOrigin,aromaScore
,3.18087,,4,16,16,0,Cerveceria Minerva,"Cerveza Minerva pudo asegurar una buena cantidad del codiciado lpulo El Dorado, tambin conocido como Oro Verde por su alto precio y sus milenarias propiedades curativas para crear una exquisita IPA en la que sobresalen las notas ctricas herbceas al olfato con un subyacente aroma a miel proveniente de la malta plida. Al gusto su amargor es evidente, sin embargo est perfectamente balanceado con las notas acarameladas de la malta de importacin alemana. Sumrgete en su sabor intenso y disfruta las propiedades relajantes y analgsicas del selecto lpulo El Dorado. 

Su 8% de contenido alcohlico hace que sea una cerveza fcil de paladear adems de que sus 40 IBUs permiten disfrutar el manjar de lpulo que contiene esta exquisita cerveza.

http://www.cervezaminerva.mx/ ",14,,0,8,CarlosChamu,4,http://www.ratebeer.com/user/360665/beer-ratings/,4,Minerva El Dorado IPA,360665,0,3,8%,Imperial IPA,6,240,4 AROMA 8/10 APPEARANCE 4/5 TASTE 8/10 PALATE 4/5 OVERALL 16/20CarlosChamu(14),Mexico,8
39.495,3.149776,,4,11,18,0,Cerveceria Minerva,"Enrique Pea Nieto; el Secretario de Hacienda, Luis Videgaray; y el Subsecretario de Ingresos, Miguel Messmacher Linartas aparecen este ao en la etiqueta de Lupe Reyes, cerveza conmemorativa. 

Este producto elaborado de manera colaborativa por Cerveza Minerva y Primus Brewery, presenta notas a pltano, clavo y algo de ligero amargor con un fondo dulce; es de cuerpo robusto y se convierte en una bebida ideal para las fiestas decembrinas.

Es una cerveza de temporada, de estilo invernal Dunkel Weizenbock, con una alta graduacin alcohlica (7.7% Alc. Vol.). Comparada con otras cervezas, sin filtrar, es relativamente turbia, y que tiene mucho cuerpo, por eso es buena para la temporada de invierno, para aportar calor al organismo. 


El 12 de diciembre entr al mercado esta cerveza bajo el cobijo de la Asociacin de Cerveceros de la Repblica Mexicana (Acermex) y con la marca Lupe-Reyes. Su etiqueta provoc que el mismo Videgaray respondiera a la peticin de los cerveceros artesanales, respecto al tema de los impuestos a la cerveza y la propuesta de aprobar una Cuota Fija en Mxico.

http://www.cervezaminerva.mx/viewpost.p ",14,,0,9,CarlosChamu,4.4,http://www.ratebeer.com/user/360665/beer-ratings/,4,Primus / Minerva Lupe Reyes,360665,0,3,7.7%,Weizen Bock,6,231,4.4 AROMA 9/10 APPEARANCE 4/5 TASTE 9/10 PALATE 4/5 OVERALL 18/20CarlosChamu(14),Mexico,9
,2.946359,,3,124,15,0,Privat-Brauerei Schmucker,"Schmucker es la nica empresa que elabora este estilo de cerveza nico en el mundo Bock Ros, con 8% de alcohol, con un color mbar rojizo que se obtiene mediante el empleo de diferentes maltas de cebada especiales.
Es pura malta, de la tradicin cervecera alemana con poco carcter de lpulo (Ni amargos ni aromticos).
Con cuerpo, de sabor vnico dulzn, adems de sedoso, frutos secos, caramelo y con un suave amargor.
 ",14,34.062,0,6,CarlosChamu,3.3,http://www.ratebeer.com/user/360665/beer-ratings/,3,Schmucker Ros Bock,360665,0,3,8%,Doppelbock,6,124,3.3 AROMA 6/10 APPEARANCE 3/5 TASTE 6/10 PALATE 3/5 OVERALL 15/20CarlosChamu(14),Germany,6
54.99,3.268823,,3,80,16,0,Privat-Brauerei Schmucker,"Esta es la cerveza mas fuerte elaborada por Schmucker en Odenwald con un 19,5% del mosto original.

Elaborada con diferentes maltas de cebada, oscuras y a la vez maltas tostadas, someten a esta gran Doppel Bock a un prolongado tiempo de guarda en bodega para refinarla.

De color Rub profundo con tintes marrones oscuros, da en la nariz un buen dulzor y ligeros aromas tostados.

De Burbuja fina, el primer sorbo es dulce, a continuacin regusto amargo, que es tapado rpidamente por la emergente nota de alcohol.
 ",14,63.716,0,7,CarlosChamu,3.5,http://www.ratebeer.com/user/360665/beer-ratings/,3,Schmucker Doppel-Bock Dunkel,360665,0,3,8%,Doppelbock,6,240,3.5 AROMA 6/10 APPEARANCE 3/5 TASTE 7/10 PALATE 3/5 OVERALL 16/20CarlosChamu(14),Germany,6
99.63,3.581133,,3,2897,14,0,Paulaner Brauerei (Schrghuber),"The no. 1 Hefe-Weibier in Germany and one of the worlds favourites. Naturally cloudy and shining silky gold in the glass under a really strong head of foam. At the first mouthful this Weibier classic has a mild aroma of banana. Finer palates detect a trace of mango and pineapple and the balance between sweet and bitter. Beer connoisseurs appreciate the fine note of yeast and the mild but sparkling mix of aromas. It is a typical beergarden beer, which brings people together all over the world. ",14,93.002,0,6,CarlosChamu,3.3,http://www.ratebeer.com/user/360665/beer-ratings/,3,Paulaner Hefe-Weissbier (Hefe-Weizen) (5.5%),360665,0,3,5.5%,German Hefeweizen,6,2897,3.3 AROMA 7/10 APPEARANCE 3/5 TASTE 6/10 PALATE 3/5 OVERALL 14/20CarlosChamu(14),Germany,7
,3.065658,,3,8,16,0,Cerveceria Minerva,"Una cerveza estilo belga Biere Blanche. Esta cerveza es elaborada utilizando malta de trigo para dar el cuerpo y color caracterstico. El aroma proviene de la semilla del cilantro, ans estrella y el toque de la cscara de la mandarina. La complejidad de su sabor con toques a pan y miel, provienen de la levadura importada de Blgica. Minerva Diosa Blanca es un tributo a todos los apasionados cerveceros y una excelente cerveza para tomar en temporada de calor.

Este estilo de cerveza es moderado en su contenido alcohlico. En apariencia a contra luz, es opaca y ligeramente blanca, con una pajita muy ligera a la luz de color oro en el fondo.





MARIDAJE
Para acompaar una pasta blanca o una crema de elote o champin

 ",14,,0,8,CarlosChamu,3.8,http://www.ratebeer.com/user/360665/beer-ratings/,3,Minerva Diosa Blanca,360665,0,3,4.5%,Witbier,6,135,3.8 AROMA 8/10 APPEARANCE 3/5 TASTE 8/10 PALATE 3/5 OVERALL 16/20CarlosChamu(14),Mexico,8
91.779,3.614184,,4,3143,,0,Brouwerij Huyghe,"Cerveza de alto impacto con notas dulces y un sabor caracterstico resultante del uso de 3 diferentes tipos de levaduras.

Esta Pale Ale belga tiene un color claro con una cabeza de oro blanco y espesa que se disipa despus de un minuto dejando una pequea capa de espuma en la superficie. Efervescencia excelente y regular que garantiza una espuma esplndida y estable.

El aroma de malta es ligero con un poco de levadura y una ligera luz de frutas. Hay una acidez muy suave y un aroma casi metlico junto con un olor sutil a chicle, con un agradable toque de alcohol, picante.

El gusto es frutal y maltoso hacia el final hay amargor de lpulo , sabores a malta y especias, La sensacin es boca es moderada y tiene una carbonatacin mayor a la promedio. Parece como si el slido trago de alcohol encendiera la boca. En realidad, calienta la lengua y el paladar. El sabor se caracteriza por su redondez. El regusto es fuerte, duradero y con un amargor seco.
Acompaa bien a estofados de cerdo, salchichas picantes, chorizos y quesos semicurados. Filete de pavo con championes y queso azul.
 ",14,94.284,0,10,CarlosChamu,4.8,http://www.ratebeer.com/user/360665/beer-ratings/,5,Delirium Tremens,360665,0,3,8.5%,Belgian Strong Ale,6,3143,4.8 AROMA 9/10 APPEARANCE 4/5 TASTE 10/10 PALATE 5/5 OVERALL 20/20CarlosChamu(14),Belgium,9
41.779,2.87909,,3,33,13,0,Cerveceria Minerva,"cerveza de color dorado brillante con aroma bajo a malta y toques ctricos de estilo Kolsch de fermentacin tipo Ale.
Elaborada con denominacin de origen de la ciudad alemana Colonia. Para lograr el gran cuerpo que esta cerveza presume, se incorpora a la mezcla malta de trigo y se extiende el tiempo de reposo posterior a la fermentacin. ",14,29.258,0,7,CarlosChamu,3.2,http://www.ratebeer.com/user/360665/beer-ratings/,3,Minerva Colonial,360665,0,3,5%,Klsch,6,150,3.2 AROMA 6/10 APPEARANCE 3/5 TASTE 7/10 PALATE 3/5 OVERALL 13/20CarlosChamu(14),Mexico,6
96.873,3.664585,,3,2436,14,0,Brauerei Heller,"De color marrn rojizo medio con destellos de color naranja brillante y espuma de cabeza compacta, firme y duradera. De aroma a salchicha ahumada y tocino un poco de moho y ligero aroma a frutas. Su sabor nos brinda un excelente equilibrio de malta dulce y el humo. El humo sustituye al factor del lpulo como el equilibrio de malta dominante. Ligero retrogusto crnico. ",14,95.847,0,7,CarlosChamu,3.5,http://www.ratebeer.com/user/360665/beer-ratings/,4,Aecht Schlenkerla Rauchbier Mrzen,360665,0,3,5.1%,Smoked,6,2436,3.5 AROMA 7/10 APPEARANCE 3/5 TASTE 7/10 PALATE 4/5 OVERALL 14/20CarlosChamu(14),Germany,7
,3.165108,,3,6,16,0,Casa Cervecera Tierra Blanca,"Las flores de jamaica hacen que nuestra cerveza roja sea un poco diferente. Le dan un sabor floral y ligeramente cido que se contrapone a los sabores dulces de las maltas tostadas que usamos para prepararla. Estas flores tambin acentan su color rojo, vivo, muy mexicano. Va muy bien con la comida picante; prubala con unos taquitos, pollo o mariscos. ",14,,0,8,CarlosChamu,3.9,http://www.ratebeer.com/user/360665/beer-ratings/,4,Tierra Grana,360665,0,3,3.5%,Spice/Herb/Vegetable,6,105,3.9 AROMA 8/10 APPEARANCE 3/5 TASTE 8/10 PALATE 4/5 OVERALL 16/20CarlosChamu(14),Mexico,8
