beerGlobalStyleScore,beerWeightedAverage,appearanceScore,beerNumRatings,palateScore,beerName,userID,beerAbV,beerNumCalories,aromaScore,beerGlobalScore,overallScore,brewerName,reviewBlob,userNumRated,userName,tasteScore,avgScore,url,beerCountryOfOrigin,beerStyleName,ratingsBlob
3.233,1.454902,2,3963,1,Budweiser,81945,5%,3963,1,,5,Anheuser-Busch InBev,"""Bud Heavy"" is great for a good game of beer-pong, but I wouldnt want to sit down and drink it with dinner. ",13,CaptainChaos,3,1.2,http://www.ratebeer.com/beer/budweiser/473/81945/,Missouri,Pale Lager,1.2 AROMA 1/10 APPEARANCE 2/5 TASTE 3/10 PALATE 1/5 OVERALL 5/20CaptainChaos(13)
,1.206355,2,2984,2,Bud Light,81945,4.1%,2984,1,,7,Anheuser-Busch InBev,"""Drinkability"" is what the new slogan states. I say that it has no taste whatsoever. No aroma, Piss yellow color, its just terrible. Its not as bad as Miller Lite, but its down there. ",13,CaptainChaos,2,1.4,http://www.ratebeer.com/beer/bud-light/474/81945/,Missouri,Pale Lager,1.4 AROMA 1/10 APPEARANCE 2/5 TASTE 2/10 PALATE 2/5 OVERALL 7/20CaptainChaos(13)
,3.23925,4,167,5,Carolina Beer Co. Cottonwood Pumpkin Spiced Ale,81945,5.1%,167,7,66.053,16,Carolina Beer Company,I had this beer last fall with a buddy and it was good. It had a nice pumpkin taste and aroma. I am a huge fan of pumpkin pie and this honestly tasted like one. ,13,CaptainChaos,8,4,http://www.ratebeer.com/beer/carolina-beer-co-cottonwood-pumpkin-spiced-ale/16870/81945/,North,Spice/Herb/Vegetable,4 AROMA 7/10 APPEARANCE 4/5 TASTE 8/10 PALATE 5/5 OVERALL 16/20CaptainChaos(13)
2.353,1.401134,1,2362,2,Miller Lite,81945,4.2%,2362,2,,2,Miller Brewing Company (MillerCoors),"I despise this beer. No flavor, watery, very weak color, unless youre playing a lot of beer pong and you dont care about anything but getting drunk, dont go near this one! ",13,CaptainChaos,1,0.8,http://www.ratebeer.com/beer/miller-lite/403/81945/,Wisconsin,Pale Lager,0.8 AROMA 2/10 APPEARANCE 1/5 TASTE 1/10 PALATE 2/5 OVERALL 2/20CaptainChaos(13)
,1.69277,3,3541,3,Corona Extra,81945,4.6%,3541,4,,9,Grupo Modelo (Corona),"Without a lime, its not a good beer. The color is weak and the taste is lacking and is almost bitter. Like I sad, unless youre throwing a Cinco de Mayo party, I wouldnt go near it. ",13,CaptainChaos,6,2.5,http://www.ratebeer.com/beer/corona-extra/742/81945/,Mexico,Pale Lager,2.5 AROMA 4/10 APPEARANCE 3/5 TASTE 6/10 PALATE 3/5 OVERALL 9/20CaptainChaos(13)
25.026,2.444608,4,1747,3,Dos Equis XX Ambar (Amber),81945,4.7%,1747,7,,12,FEMSA - Cuauhtmoc-Moctezuma (Heineken),This is my favorite Mexican restaurant beer. It is great to drink with ACP. It has a deep Amber color to it and is very rich and hearty. I must say that I enjoy this beer a lot. ,13,CaptainChaos,7,3.3,http://www.ratebeer.com/beer/dos-equis-xx-ambar-amber/224/81945/,Mexico,Amber Lager/Vienna,3.3 AROMA 7/10 APPEARANCE 4/5 TASTE 7/10 PALATE 3/5 OVERALL 12/20CaptainChaos(13)
94.837,2.598916,2,1026,2,Leinenkugels Summer Shandy,81945,4.2%,1026,7,14.27,11,Leinenkugel Brewing Company (Tenth & Blake Beer Co.),"The lemony smell and taste make this a decent choice for a Summer-time beer. The citrus taste overpowers the hops, but it wasnt terrible. ",13,CaptainChaos,6,2.8,http://www.ratebeer.com/beer/leinenkugels-summer-shandy/71252/81945/,Wisconsin,Radler/Shandy,2.8 AROMA 7/10 APPEARANCE 2/5 TASTE 6/10 PALATE 2/5 OVERALL 11/20CaptainChaos(13)
1.618,1.343777,2,2953,3,Coors Light,81945,4.2%,2953,4,,8,Coors Brewing Company (MillerCoors),"Its a cheap frat beer. Probably my favorite light beer, but lacks in color, taste, and smell. I only drink it if its the only thing in the fridge. ",13,CaptainChaos,3,2,http://www.ratebeer.com/beer/coors-light/707/81945/,Colorado,Pale Lager,2 AROMA 4/10 APPEARANCE 2/5 TASTE 3/10 PALATE 3/5 OVERALL 8/20CaptainChaos(13)
95.73,3.314843,5,1415,3,Spaten Oktoberfest Ur-Mrzen,81945,5.9%,1415,4,,11,Spaten-Franziskaner-Bru (InBev),"Its a nice dark amber color with a strong flavor. I am not much on heavy beers, but I can appreciate the beer for what it is. Its definitely a one time drinker, dont want to go throwing a bunch of these back. ",13,CaptainChaos,5,2.8,http://www.ratebeer.com/beer/spaten-oktoberfest-ur-marzen/2543/81945/,Germany,Oktoberfest/Mrzen,2.8 AROMA 4/10 APPEARANCE 5/5 TASTE 5/10 PALATE 3/5 OVERALL 11/20CaptainChaos(13)
22.081,2.661619,4,759,3,Blue Moon Honey Moon Summer Ale,81945,5.2%,759,5,16.46,14,Coors Brewing Company (MillerCoors),"Honey and orange citrus taste. Its a decent summer-time beer. I liked it, but the sweetness was a little much, I would only drink one...its not a 6 pack pounder. ",13,CaptainChaos,7,3.3,http://www.ratebeer.com/beer/blue-moon-honey-moon-summer-ale/65744/81945/,Colorado,Wheat Ale,3.3 AROMA 5/10 APPEARANCE 4/5 TASTE 7/10 PALATE 3/5 OVERALL 14/20CaptainChaos(13)
42.803,2.969035,5,3106,3,Blue Moon Belgian White Ale,81945,5.4%,3106,5,35.819,14,Coors Brewing Company (MillerCoors),"Nice wheat ale. Goes good with an orange slice. Its a little sweet, but I kind of like that sometimes. The color is weak, but thats to be expected in a wheat ale. ",13,CaptainChaos,7,3.4,http://www.ratebeer.com/beer/blue-moon-belgian-white-ale/2228/81945/,Colorado,Witbier,3.4 AROMA 5/10 APPEARANCE 5/5 TASTE 7/10 PALATE 3/5 OVERALL 14/20CaptainChaos(13)
18.731,2.75055,5,156,4,Red Oak Amber Lager,81945,5%,156,8,,19,Red Oak Brewery,"Being from the Greensboro area, I absolutely love this beer. It is a great beer to drink with a steak dinner. It has a nutty & caramel taste and looks great coming out of the tap. The only problem I have is that the Brewery doesnt bottle it yet, so I have to go to a local bar and pay $3.00 to get it. ",13,CaptainChaos,8,4.4,http://www.ratebeer.com/beer/red-oak-amber-lager/19414/81945/,North,Oktoberfest/Mrzen,4.4 AROMA 8/10 APPEARANCE 5/5 TASTE 8/10 PALATE 4/5 OVERALL 19/20CaptainChaos(13)
52.94,2.780176,5,2323,3,Yuengling Traditional Lager,81945,4.4%,2323,7,22.207,16,Yuengling Brewery,This beer is a good one. Its the oldest brewed beer in America and it has a great aroma and I love the way it pours. The deep amber color and the rich taste ,13,CaptainChaos,8,3.9,http://www.ratebeer.com/beer/yuengling-traditional-lager/884/81945/,Pennsylvania,Amber Lager/Vienna,3.9 AROMA 7/10 APPEARANCE 5/5 TASTE 8/10 PALATE 3/5 OVERALL 16/20CaptainChaos(13)
