beerGlobalStyleScore,beerWeightedAverage,appearanceScore,beerNumRatings,palateScore,beerName,userID,beerAbV,beerNumCalories,aromaScore,beerGlobalScore,overallScore,brewerName,reviewBlob,userNumRated,userName,tasteScore,avgScore,url,beerCountryOfOrigin,beerStyleName,ratingsBlob
95.963,3.825813,5,112,5,Free State Cloud Hopper Imperial IPA,304719,9.2%,112,7,98.62,16,Free State Brewing Company,"Buttery smooth beer from a historic brewery. Very happy to have tried some Free State beer.

---Rated via Beer Buddy for iPhone ",26,Geraldusek89,8,4.1,http://www.ratebeer.com/beer/free-state-cloud-hopper-imperial-ipa/209815/304719/,Kansas,Imperial IPA,4.1 AROMA 7/10 APPEARANCE 5/5 TASTE 8/10 PALATE 5/5 OVERALL 16/20Geraldusek89(26)
96.193,3.833536,5,222,4,Stone / Sierra Nevada NxS IPA,304719,8.2%,222,7,98.673,16,Stone Brewing,"Interesting beer. I can definitely taste the barrel aging they spoke of. Boozy, but not overwhelming. Extra dry-hopping comes through, as well. Beautiful burnt-orange/copper hue. Neat beer.

---Rated via Beer Buddy for iPhone ",26,Geraldusek89,7,3.9,http://www.ratebeer.com/beer/stone--sierra-nevada-nxs-ipa/381404/304719/,California,Imperial IPA,3.9 AROMA 7/10 APPEARANCE 5/5 TASTE 7/10 PALATE 4/5 OVERALL 16/20Geraldusek89(26)
99.788,4.28041,5,2192,5,Founders KBS (Kentucky Breakfast Stout),304719,11.2%,2192,9,,15,Founders Brewing Company,"Bourbon. Bourbon, bourbon, bourbon. A tad bit too much bourbon, but delicious nonetheless. Huge bourbon, chocolate, licorice aroma. Palate is a boozy plum with burnt chocolate notes. Mouth feel is strong upfront with a cooling alcohol burn that lingers and is quite pleasing. So happy to finally try this beer!

---Rated via Beer Buddy for iPhone ",26,Geraldusek89,8,4.2,http://www.ratebeer.com/beer/founders-kbs-kentucky-breakfast-stout/40544/304719/,Michigan,Imperial Stout,4.2 AROMA 9/10 APPEARANCE 5/5 TASTE 8/10 PALATE 5/5 OVERALL 15/20Geraldusek89(26)
96.985,3.854401,4,2495,4,Dogfish Head 120 Minute IPA,304719,18%,2495,7,98.887,17,Dogfish Head Brewery,"For such an outrageous beer, I have to give Dogfish Head credit for making this as drinkable and tasty as it is. Very happy I finally got to try it!

---Rated via Beer Buddy for iPhone ",26,Geraldusek89,8,4,http://www.ratebeer.com/beer/dogfish-head-120-minute-ipa/22904/304719/,Delaware,Imperial IPA,4 AROMA 7/10 APPEARANCE 4/5 TASTE 8/10 PALATE 4/5 OVERALL 17/20Geraldusek89(26)
95.377,3.815313,4,1067,3,Smuttynose Big A IPA,304719,8.2%,1067,9,98.513,16,Smuttynose Brewing Company,"Pours an opaque yellow with a white head. Sweet, boozy flavor. Bright aroma.

---Rated via Beer Buddy for iPhone ",26,Geraldusek89,6,3.8,http://www.ratebeer.com/beer/smuttynose-big-a-ipa/14608/304719/,New,Imperial IPA,3.8 AROMA 9/10 APPEARANCE 4/5 TASTE 6/10 PALATE 3/5 OVERALL 16/20Geraldusek89(26)
98.19,3.909852,5,632,4,Stone Ruination IPA 2.0,304719,8.5%,632,7,99.312,16,Stone Brewing,"Nose is sweet, boozy, and a burnt-sugary goodness. Crystal clear golden-copper with a lingering head and lacing. Taste is tropical, almost pineapple-like, boozy, with just enough bitterness. I&apos;d love to do a shoot-out next to the first Ruination, but if memory serves me correctly, this is slightly less flavorful. Still a fantastic beer.

---Rated via Beer Buddy for iPhone ",26,Geraldusek89,8,4,http://www.ratebeer.com/beer/stone-ruination-ipa-20/328261/304719/,California,Imperial IPA,4 AROMA 7/10 APPEARANCE 5/5 TASTE 8/10 PALATE 4/5 OVERALL 16/20Geraldusek89(26)
93.395,3.734234,4,126,4,Deschutes Jubel 2015,304719,10.4%,126,8,97.373,15,Deschutes Brewery,"I wish I had the patience to let this age a bit, but I don&apos;t. It literally has an ""enjoy after"" date on it, oh well. Still a great beer. Aroma&apos;s fantastic - earthy, boozy, sweet. Taste&apos;s fantastic - boozy, yeasty, aged fruit, malty. I personally love the look of this beer - color of a dirty penny, oily, and earthy. It almost reminds me of Rochefort 10, a Trappist beer. 

---Rated via Beer Buddy for iPhone ",26,Geraldusek89,9,4,http://www.ratebeer.com/beer/deschutes-jubel-2015/313891/304719/,Oregon,American Strong Ale,4 AROMA 8/10 APPEARANCE 4/5 TASTE 9/10 PALATE 4/5 OVERALL 15/20Geraldusek89(26)
98.298,3.626127,2,165,2,Otter Creek Citra Mantra,304719,,165,9,94.655,18,Otter Creek Brewing,"This BEER tastes like cat pee and smells like cat pee. It&apos;s even better with the lights off. The cat pee is prevalent. Four out of five.

---Rated via Beer Buddy for iPhone ",26,Geraldusek89,9,4,http://www.ratebeer.com/beer/otter-creek-citra-mantra/246903/304719/,Vermont,Imperial Pils/Strong Pale Lager,4 AROMA 9/10 APPEARANCE 2/5 TASTE 9/10 PALATE 2/5 OVERALL 18/20Geraldusek89(26)
97.262,3.784306,1,100,1,Shorts Goodnight Bodacious,304719,9%,100,9,98.136,,Shorts Brewing Company,"This BEER tastes like cat pee and smells like cat pee. It&apos;s even better with the lights off. The cat pee is prevalent. Four out of five.

---Rated via Beer Buddy for iPhone ",26,,9,4,http://www.ratebeer.com/beer/shorts-goodnight-bodacious/173615/304719/,Michigan,Black IPA,4 AROMA 9/10 APPEARANCE 1/5 TASTE 9/10 PALATE 1/5 OVERALL 20/20Geraldusek89(26)
99.947,4.200611,5,2838,5,Bells Hopslam,304719,10%,2838,7,99.947,19,Bells Brewery,"Currently sitting in the brewery cafe sipping fresh Hopslam on draft. Amazing. Pours a honey gold, great lacing, with a sweet, dank aroma. Taste starts off with a wave of bitter booze that melts away into that honey, hoppy goodness. Again, amazing. Kalamazoo is a cool little town, too. Great daytime roadtrip from Chicago!

---Rated via Beer Buddy for iPhone ",26,Geraldusek89,8,4.4,http://www.ratebeer.com/beer/bells-hopslam/35488/304719/,Michigan,Imperial IPA,4.4 AROMA 7/10 APPEARANCE 5/5 TASTE 8/10 PALATE 5/5 OVERALL 19/20Geraldusek89(26)
