ratings,review,beerName,user
4 AROMA 7/10 APPEARANCE 4/5 TASTE 8/10 PALATE 5/5 OVERALL 16/20fiulijn(17710),"Bottle from BCL Park Royal; bottled 14-09-2015Dark brown color, near black, with medium sized head, not persistent. Both aroma and flavor have the malt and caramel depth of old style strong Belgian beers, and sweet enough to get close to a classic British Barley Wine, and ending with a nice touch of dark caramel and nuts; the alcohol is well managed; the cedar is not evident.Delicious Barley Wine. ",De Molen Cedar-Wood Infused Quad,1786
1.3 AROMA 4/10 APPEARANCE 4/5 TASTE 1/10 PALATE 1/5 OVERALL 3/20fiulijn(17710),"Draught at CallisterCloudy golden color with creamy head. Undrinkable concoction of vegetable and petrol; cant detect the ginger, for what it matters.One of the worst beers I had in a long time. ",Brewery Creek Cllate Ginger Saison,1786
3.3 AROMA 7/10 APPEARANCE 3/5 TASTE 6/10 PALATE 3/5 OVERALL 14/20fiulijn(17710),"Draught at the breweryHazy blond color. Nice aroma, moderately smokey, and earthy. The mouthfeel is light and dry, the sourness is stronger than expected, very lemony, astringent, lemon peel, and some smoke.Weird, unbalanced, but interesting. ",Bomber Grtzer - Oak Smoked,1786
2.6 AROMA 5/10 APPEARANCE 4/5 TASTE 5/10 PALATE 2/5 OVERALL 10/20fiulijn(17710),"Draught at BierCraft on CommercialHazy red-amber color with small compact head. The aroma is very mild, the mouthfeel is dry, there is some ashy feeling over the dry caramel flavor, and the bitterness comes with a light vegetable note.Not very good. ",Bomber Rye Bitter,1786
3.5 AROMA 7/10 APPEARANCE 4/5 TASTE 7/10 PALATE 3/5 OVERALL 14/20fiulijn(17710),"Tasting at MattsHazy dark amber color. Heavy beer, heavy caramel and heavy alcohol, quite sweet too, malt flavor, and strong hopping, a bit resiny but also quite earthy.A good beer overall, not impressive and not really and IIPA though. ",Wild Ride Brain Bucket Imperial IPA - Bourbon Barrel Aged,1786
3.2 AROMA 6/10 APPEARANCE 3/5 TASTE 7/10 PALATE 3/5 OVERALL 13/20fiulijn(17710),"Draught at BierCraft on Commercial, and cask as Unfiltered kellerbier, 6-3-7-3-13=32Blond color, clean, with almost no head. The aroma is very mild, just a bit grassy though. The body is pleasantly dry, and not weak; quite good malt flavor, lightly biscuity; correct bitterness, light herbaceous character, more was expected from the hops; a bit spicy, in my opinion the rye is not suitable for the style, it adds a vegetable bitter note.Nice, overall.Unfiltered, caskThe unfiltered version is expectedly very cloudy, it has a large fluffy head. Aroma and flavor convey an impression of butter and citrus peel; this variant of the beer doesnt add any particular quality, instead its quite yeasty, and the final is less than exciting.Not a great result.6-3-5-2-11 ",Bomber / Doans Living Skies Rye Pilsner,1786
4.2 AROMA 8/10 APPEARANCE 4/5 TASTE 8/10 PALATE 5/5 OVERALL 17/20fiulijn(17710),"Tasting at MattsGolden color, clean. Deep hop aroma, very resiny, a bit of manure. Lean, just lightly sweet, good crackery malts, and a load of resiny hops, citrusy too.For such a strong beer, its extremely well balanced and drinkable. Excellent. ",Knee Deep Hop-De-Ranged Quad IPA,1786
3.1 AROMA 7/10 APPEARANCE 1/5 TASTE 7/10 PALATE 4/5 OVERALL 12/20fiulijn(17710),"Draught at the brewery, first glass of the kegUgly murky greenish color with creamy head. Its literally like chewing hop pellets; I never had such experience, such aggressive cocktail of pure pungent hop oils. Besides that, its sweet,, it has some fun aroma, and the final is spicy like ginger juice.Crazy, but I think this is what they were looking for.I cant drink more than 5oz, but thanks for doing it. ",Bomber 10-Year Tenure,1786
3.4 AROMA 7/10 APPEARANCE 4/5 TASTE 6/10 PALATE 3/5 OVERALL 14/20fiulijn(17710),"Tasting at MattsDark brown color, almost black, small disappearing head. Bready aroma, rye, light coffee. The mouthfeel is smooth, nice dark malts flavor.Nice. ",Bastards Mark the Shadow,1786
2.6 AROMA 5/10 APPEARANCE 4/5 TASTE 5/10 PALATE 2/5 OVERALL 10/20fiulijn(17710),"Tasting at MattsDark amber color, hazy. Strong aroma of spices, that smells like soap. Good body strength; a bit sour, malty, caramelly, and a lot of soapy spices. Burning alcohol.To me, not pleasant. ",Almanac Heirloom Pumpkin Barleywine (2014),1786
2.5 AROMA 5/10 APPEARANCE 3/5 TASTE 5/10 PALATE 2/5 OVERALL 10/20fiulijn(17710),"Draught at Rogue Kitchen & Wetbar (W. Broadway), VancouverHazy amber color. Dusty and grainy aroma. Bready and grainy flavor, earthy, with some vegetables, chamomile; lowish bitterness.A non ground breaking Amber. ",Vancouver Island Mile High Mountain Ale,1786
2.4 AROMA 5/10 APPEARANCE 3/5 TASTE 5/10 PALATE 2/5 OVERALL 9/20fiulijn(17710),"Cask at CallisterCloudy blond-golden color, creamy head. The boring Summer Ale with a light vegetable and sour note, not very appealing. ",Real Cask Mighty Mauby,1786
3.6 AROMA 7/10 APPEARANCE 3/5 TASTE 7/10 PALATE 4/5 OVERALL 15/20fiulijn(17710),"Tasting at MattsDark brown color, almost no head. The dark malt body blends well with the juicy sourness; if there are spices, they are very subdued. Some layer of complexity.Very nice. ",Almanac Dark Pumpkin Sour (2014),1786
2.3 AROMA 5/10 APPEARANCE 4/5 TASTE 4/10 PALATE 2/5 OVERALL 8/20fiulijn(17710),"Cask at CallisterAmber color, clean, with small head. Light aroma; dry mouthfeel, weak; a bit of malt flavor, but also too much astringency, and some vegetables. There are many casks like this sold in England, but still they are not the best ones.Not a disaster, but still a timid attempt, and flawed. ",Real Cask Penzance West Coast Pale,1786
2.3 AROMA 5/10 APPEARANCE 4/5 TASTE 4/10 PALATE 2/5 OVERALL 8/20fiulijn(17710),"Cask at Alibi Room, VancouverDark brown to black color with frothy head. Aroma of dark malts and glue. Soft undercarbonated mouthfeel; flavor of roasted malts, but I get an incredible feeling if hospital sanitizer, more than I can remember from any beer, quite unpleasant.Chemical brew. ",Real Cask India Porter,1786
3.9 AROMA 7/10 APPEARANCE 4/5 TASTE 8/10 PALATE 4/5 OVERALL 16/20fiulijn(17710),"Tasting at MattsBlack color, beige head. Chocolatey, roasty, sweet, with a very good raspberry presence.Balanced and layered. Excellent. ",Tupiniquim Monjolo Floresta Negra,1786
3.4 AROMA 6/10 APPEARANCE 4/5 TASTE 7/10 PALATE 4/5 OVERALL 13/20fiulijn(17710),"Tasting at MattsDark brown color; it has a strong caramel flavor, but the aroma is appley, maybe acetaldehyde; sweet, robust, alcoholic.Im not overly impressed. ",HeBrew Jewbelation Nineteen,1786
3.3 AROMA 6/10 APPEARANCE 4/5 TASTE 7/10 PALATE 3/5 OVERALL 13/20fiulijn(17710),"2016-02-22, tasting at Joshs, bottle, 6-4-6-3-11=30Red color, hazy, almost no head. The aroma is a bit earthy. The flavor is too much loaded with dark caramel, roasted nuts; bitter to a certain degree, some hop resins, but also some vegetables.Quite hard and harsh.2016-02-18, draught at Red Racer Restaurant, Vancouver, 6-4-7-3-13=33Hazy dark amber color, compact head. Lean, not sweet or chewy, for the rest, exactly as expected, its a caramelly brew with a decent amount of hop resins and a hint of tropical fruits; but the choice of this substyle doesnt really allow to showcase the hops.Nice, if you know what you are getting. ",R & B Red India Pale Ale,1786
2.6 AROMA 6/10 APPEARANCE 2/5 TASTE 5/10 PALATE 2/5 OVERALL 11/20fiulijn(17710),"Draught at the breweryCloudy pale blond color with medium head. Strong ginger aroma. Dry mouthfeel, medium ginger flavor and mild cardamom, hint of anise, dry final. Hardly any beer feeling.More Spice Beer than Witbier. No flaws here, just a bad concept. ",Powell Street Belgian Witbier (2016-),1786
